,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
53,Fire (Support)(Support Patrol) Base,Nui Ba Ho,16.7371,106.8862,YD015511,6342-2,Also Ba Ho. ARVN 1972. Northeast of Stud.,MACV Tm 155 AAR 30Mar-1May72,
54,,Nui Ba Mountains,14.05,109.03,BR/CR,6837-3,aka Phu Cat Mtns. SE of Phu My. Contains Base Area 230.,,
55,Fire (Support)(Support Patrol) Base,Nui Ba Ra,11.8171,106.9996,YU183068,6432-4,"Hill 723, aka The Hill. 5/2nd Arty (AW)(SP) and 1 ACD/25th ID radio relay ’70. Also supported MACSOG CCS ops.","139, 247, AD511004, AD508665",
56,Airfield,Nui Ba Ra AF,11.8538,106.9985,YU182109,6432-4,See Song Be City AF.,,
57,,Nui Ba Tum Ridge,16.77,106.87,YD0055,6342-1,Mile-long ridge from which NVA observed and harrassed traffic on Rte 9.,150,
58,,Nui Bai Cay Tat,16.4789,107.3623,YD526231,6441-1,Hill 500 (contour). A/4/31st Inf fight 9-11May68.,154,
0,,Nui Bai Voi,10.2214,104.6164,VS584296,5929-3,"Hill 148. ARVN 44 Rangers, big fight 27Sep-20Nov70. >900 ARVN KIA.",359,
1,Landing Zone,Nui Be,10.7541,107.6258,YS876987,6530-4,Hill 874. 173rd Abn.,,
2,Position,Nui But Compound,15.108,108.8144,BS656711,6739-2,Hill 61. Quang Ngai.,AD512565,
3,Fire (Support)(Support Patrol) Base,Nui Cam,10.4966,104.9796,VS982600,5929-1,FSB here at some point. One of the Seven Sisters. Eastern slopes VC controlled.,282,
4,,Nui Can,15.16542,108.54671,BS36897776,6739-3,Hill 760m (contour). Dominant feature in BA 120. Listing is Nui Con. Op Hood River (1/101st) Aug67.,AD394028,
5,Landing Zone,Nui Cau,11.4033,106.1612,XT271605,6231-4,Hill 403. Rcn/3/22nd Inf 4Jan70. Op Cliff Dweller IV.,AD509705,
6,Artillery Position,Nui Chap Chai,,,,,Hill 391. RVNN Coastal Radar Station 202 Mar72. Tuy Hoa.,602,
7,Observation Post,Nui Chap Tra,15.5085,108.4609,BT281159,6640-2,See LZ Mary.,,
8,,Nui Cheu,14.5802,108.8216,BS658127,6738-2,Namesake of the Nui Cheu hillmass enclosed by the Highland Fishhook. About 940 m.,643,
9,,Nui Chom Ridge,15.6,108.1,AT9031,6640-3,Northern frontier of Hiep Duc Valley. Beaucoup NVA.,,
10,Observation Post,Nui Chua,15.2964,108.7659,BS606920,6739-1,"aka OP Binh Son, Terrier. Also 601922, 605920. Nui Chua is not named on charts, just 20m contour.",1/7 Marines CC Dec65,
11,Position,Nui Chua Chan,10.94126,107.37932,YT60471019,6430-1,Hill 837. Signal site. 173rd Abn. E of Xuan Loc.,,
12,Position,Nui Chua Chan,10.9414,107.3796,YT605102,6430-1,"Hill 837. 2/35th Arty (155mm)(SP) Jul67, B-/1/7th Cav 24Feb72.","394, AD394058",
13,Position,Nui Chua Chan,10.9423,107.3796,YT605103,6430-1,Hill 837. B-/2/5th Cav 24Oct71.,"394, 483",
14,Position,Nui Chua Chan RRS,10.9396,107.3769,YT602100,6430-1,"Hill 837 Radio Relay Site, Mace Relay. Also TF Ranger CP 17Aug66.",AD510789,
15,,Nui Co To,10.3772,104.9923,VS996468,5929-1,"Hill 614, aka Superstition Mountain. Dominant Seven Sisters peak. VC infested, heavily fortified and dug in.","282, 408",
16,,Nui Cung Chap,14.1228,108.9977,BR843619,6837-3,About 340m. 173rd Abn battle 2-9Apr71.,,
17,Outpost,Nui Da,15.0569,108.7619,BS599655,6739-2,"Nui Da Outpost. Text barely legible in document, my guess is Hill 25 (grid), Phu Hau (1) ville.",217,
18,,Nui Da Dan Ridge,14.5887,108.9467,BS793135,6738-2,West of Tam Quan in the Hon Go mountains. Grid is LZ Dime.,,
19,,Nui Da Den,15.2,108.6,BS4383,6739-3,VC base area since 1951. VC Provincial (Quang Ngai) Hq in 1966.,678,
20,Observation Post,Nui Dang,14.8148,108.966,BS816385,6738-1,Hill 150. aka Montezuma Mtn. USMC. Listing (876385) is in the ocean.,,
21,Artillery Position,Nui Dang,14.81255,108.96756,BS81773825,6738-1,Hill 150. I-/3/11th Marines (105mm)(T) 3Mar67.,539,
22,Artillery Position,Nui Dang,14.81455,108.96856,BS81883847,6738-1,Hill 150. MB-/3/11th Marines (107mm)(T) 25Mar67.,539,
23,Position,Nui Dat,14.8918,108.8891,BS734471,6738-2,Hill 61. 3-/7th Marines 23Nov65.,524,
24,,Nui Dat 2,10.5629,107.2669,YS485682,6430-2,"aka Nui Dat east, Hill 126. 1 ATF.",,
25,Fire (Support)(Support Patrol) Base,Nui Dat 3,10.5806,107.4133,YS645703,6430-2,Hill 93. MBPP and FSB. 1/C/1st Arm Rgt 18Jun71.,10,
26,Landing Zone,Nui Dat 3,10.5784,107.4144,YS647701,6430-2,"aka Hill 93, LZ Hawk. 1 ATF. N of Xuyen Moc.",,
27,Fire (Support)(Support Patrol) Base,Nui Dat Base Camp,10.5414,107.2094,YS422658,6430-3,"1/83rd Arty (175mm/8"")(SP) CP 10Jun67, Feb68.","10, 500, 694, AD389421",
28,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5468,107.2112,YS424664,6430-3,1st Field Regiment RAA 11-13Jun66. Op Hardihood.,10,
29,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5405,107.213,YS426657,6430-3,"1/83rd Arty (175mm/8"")(SP) CP Apr67.",AD388165,
30,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5414,107.213,YS426658,6430-3,"1/83rd Arty (175mm/8"")(SP) 21Mar-16Apr67. Op Portsea.",10,
31,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5478,107.2128,YS426665,6430-3,"A/1/83rd Arty (175mm/8"")(SP) Oct67, B/2/35th Arty (155mm)(SP) Jul69.","AD505154, AD389703, AD387505",
32,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5486,107.2131,YS426666,6430-3,ARVN 155mm 7Oct-7Nov71.,10,
33,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5477,107.2149,YS428665,6430-3,"A/2/35th Arty (155mm)(SP) CP Feb, Apr68, Apr, Oct70. Alpha battery permanent BC. Add Ref 731.","472, AD511635, AD392310, AD391449",
34,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5486,107.2149,YS428666,6430-3,A/2/35th Arty (155mm)(SP) 5Jun66. Op Hardihood.,10,
35,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5504,107.2149,YS428668,6430-3,104 FB RAA 11Oct71. Koala arty area.,10,
36,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5468,107.2158,YS429664,6430-3,"A/2/35th Arty (155mm)(SP) 1Apr67, A/3rd Cav CP Feb68.","10, 694, AD514678",
37,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5489,107.2159,YS429666,6430-3,"1 ATF Hq, Husky Helipad. A/2/35th Arty (155mm)(SP) 21Mar-16Apr67. Op Portsea.","10, 497",
38,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5504,107.2158,YS429668,6430-3,105 FB RAA 5Jun66. Op Hardihood.,10,
39,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5513,107.2158,YS429669,6430-3,"1 ATF, 3 Cav CP Sep69.","601, AD511158, AD517628, AD501405",
40,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5449,107.2167,YS430662,6430-3,161 FB RNZA (105mm)(T) 10Jun67.,10,
41,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5585,107.2168,YS430677,6430-3,"A/7/8th Arty (175mm/8"")(SP) 21Oct70.",AD505154,
42,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5495,107.2176,YS431667,6430-3,A/3rd Cav CP Apr67.,AD388165,
43,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5466,107.2185,YS432664,6430-3,161 FB RNZA (105mm)(T) 5Jun66. Op Hardihood.,"10, AD391726",
44,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5485,107.2186,YS432666,6430-3,103 Sig Sqdn CP Apr67.,"AD388165, AD389421",
45,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5539,107.2188,YS432672,6430-3,B/2/35th Arty (155mm)(SP) Jul69.,AD505154,
46,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5576,107.2186,YS432676,6430-3,A/2/35th Arty (155mm)(SP) Feb-Apr68.,AD391449,
47,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.563,107.2187,YS432682,6430-3,103 FB RAA 9-16Jan67. Luscombe Field.,10,
48,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5494,107.2195,YS433667,6430-3,"FSBs Gail, Husky. 6 RAR, 1 ATF Hq Apr68, Sep69, 5/2nd Arty (AW)(SP) Oct70.","552, AD517628, AD515205, AD511158",
49,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5503,107.2195,YS433668,6430-3,"1 ATF 104 Signal Jan, Sep69.","601, AD511158, AD517628, AD501405",
50,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5585,107.2195,YS433677,6430-3,5-/2nd Arty (AW)(SP) Jul69.,AD506145,
51,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5612,107.2196,YS433680,6430-3,1 ATF 17 Construction.,"AD511158, AD517628",
52,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.563,107.2196,YS433682,6430-3,1 ATF 161 Recon.,"AD511158, AD517628",
53,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.544,107.2203,YS434661,6430-3,B/2/35th Arty (155mm)(SP) 31Jul69.,AD505793,
54,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5467,107.2204,YS434664,6430-3,103 FB RAA 5Jun66. Op Hardihood.,10,
55,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5467,107.2213,YS434665,6430-3,3 SAS CP Apr67.,AD388165,
56,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5567,107.2204,YS434675,6430-3,Hill 101 summit. 1 SAS CP Jan68.,AD389421,
57,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5585,107.2204,YS434677,6430-3,"C/2/35th Arty (155mm)(SP) 24Mar-10Apr, Nov70.","471, AD509170",
58,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5603,107.2205,YS434679,6430-3,"101 FB RAA, 1-/83 Arty 6-7Mar67. Op Ayr.",10,
0,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5494,107.2213,YS435667,6430-3,1 ATF Hq Apr67-Feb68.,"694, AD388165, AD389421",
1,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.553,107.2213,YS435671,6430-3,161 FB RNZA (105mm)(T) 11Dec66-1Feb67.,10,
2,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5585,107.2214,YS435677,6430-3,"105 FB RAA 15-23Jul66. Op Sydney II. 1/83rd Arty (175mm/8"")(SP) Mar67, B/2/35th Arty (155mm)(SP) Apr69.",10,
3,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5594,107.2214,YS435678,6430-3,161 FB RNZA (105mm)(T) 21Jun-5Jul66. Op Enoggera.,10,
4,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5576,107.2223,YS436676,6430-3,"aka SAS Hill, Hill 101. 2,3 SAS, 199th LIB, 9th ID.","601, AD511158, AD517628, AD501405",A B C D E F
5,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5476,107.2231,YS437665,6430-3,"12 FR (105mm)(T) RAA Jan69, 1 FR RAA CP Sep69, Apr70.","694, AD511158, AD517628, AD389421",
6,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5539,107.2232,YS437672,6430-3,106 FB RAA 10Jun67.,10,
7,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.56215,107.22395,YS43786811,6430-3,105 FB RAA 14-18Aug66. Op Holsworthy. Luscombe Field.,10,
8,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5603,107.2241,YS438679,6430-3,"A/1/83rd Arty (175mm/8"")(SP) 29Jun-1Jul67. Op Coorparoo.",10,
9,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5575,107.2259,YS440676,6430-3,103 FB RAA 31Mar-16Apr67. Op Portsea. Hornbill arty area.,10,
10,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5657,107.226,YS440685,6430-3,105 FB RAA 24May-5Jun66. Op Hardihood. Ap An Phu knoll.,10,
11,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5648,107.2269,YS441684,6430-3,"Ap An Phu knoll. 5 RAR CP 5Jun66. Op Hardihood. 6 RAR CP Apr67, 7 RAR CP Jan68, 1 RAR CP Jan69, 9 RAR CP Sep69.","10, AD388165, AD389421, AD501405",
12,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5639,107.2279,YS442668,6430-3,1st FD Rgt RAA Hq Aug66. Home base for 103 and 105 field batteries.,"10, 494",
13,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5639,107.2279,YS442683,6430-3,5 RAR CP.,,
14,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5648,107.2278,YS442684,6430-3,105 FB RAA 5-10Aug66. Op Holsworthy.,10,
15,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5494,107.2286,YS443667,6430-3,D/5/2nd Arty (AW)(SP) 31Jul70.,550,
16,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5575,107.2287,YS443676,6430-3,"2 RAR CP Jan, Feb68, 4 RAR CP Jan69, 6 RAR CP Sep69.","694, AD389421, AD501405, AD391726",
17,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5584,107.2287,YS443677,6430-3,5/2nd Arty (AW)(SP) ’69.,AD506650,
18,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5629,107.2287,YS443682,6430-3,"161 Independent Reconnaisance Flight, 1 ATF.","601, AD511158, AD514678, AD501405",
19,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5575,107.2296,YS444676,6430-3,6 RAR CP 14Jun66. Op Hardihood.,10,
20,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5467,107.2304,YS445664,6430-3,1 ATF B/1 Armor CP Sep69.,"601, AD511158, AD517628, AD391726",
21,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5584,107.2314,YS446677,6430-3,C/2/35th Arty (155mm)(SP) 1-12Feb70. Listing is (YT)346677.,"471, AD511635",
22,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5367,107.2331,YS448653,6430-3,6 RAR Mortar Plt. 21Jun-5Jul66. Op Enoggera.,10,
23,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5412,107.2331,YS448658,6430-3,"3 RAR CP Jan, Feb68, Jan69, 5 RAR CP Sep69.","694, AD389421, AD501405, AD391726",
24,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5575,107.2332,YS448676,6430-3,C-/5/2nd Arty (AW)(SP) 31Jan70.,AD508665,
25,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5593,107.2332,YS448678,6430-3,5/2nd Arty (AW)(SP) ’70.,"AD511004, AD508665",
26,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5638,107.2369,YS452683,6430-3,101 FB RAA 20-24Jan67. vic Luscombe Field.,10,
27,Fire (Support)(Support Patrol) Base,Nui Dat BC,10.5475,107.2377,YS453665,6430-3,C/2/35th Arty (155mm)(SP) 5Jan70. Op Bluewater.,10,
28,Observation Post,Nui Dau,14.7548,109.0097,BS863318,6838-4,USMC Feb67.,,
29,Artillery Position,Nui Dau,14.75513,109.0148,BS86803185,6838-4,I(fwd)/3/11th Marines (105mm)(T) 25Mar67. Listing is Nui Dang.,539,
30,Fire (Support)(Support Patrol) Base,Nui Dau,14.7538,109.0157,BS869317,6838-4,Hill 164. Later FSB Debbie. C/2/11th Arty (155mm)(T) 18Aug-31Oct67.,AD387630,
31,Heliport/pad,Nui Dau Pad,14.7611,109.0203,BS874325,6738-1,HMM-364 3Dec65. FSB Debbie/Thunder.,"542, MAG-36 CC",
32,Observation Post,Nui Đèo,14.9498,108.9273,BS776535,6738-1,Hill 20. USMC.,"AD519973, 198 LIB DSJ 2Apr71",
33,Observation Post,Nui Dep,15.0099,108.8619,BS706602,6739-2,"3/4th Inf Aug68. Listing is 706502, typo my opinion.",211,
34,Observation Post,Nui Dep,15.0127,108.8628,BS707605,6739-2,Attacked 1Feb71.,AD519973,
35,Artillery Position,Nui Dien Ba,10.4281,107.2579,YS476533,6429-1,5-/2nd Arty (AW)(SP) Jul69. South of Dat Do.,AD506145,
36,Observation Post,Nui Dep,15.0154,108.8636,BS708608,6739-2,"aka Hill 68, LZ Snoopy.",AD519973,
37,Position,Nui Dinh,10.5395,107.1294,YS335655,6430-3,Hill 491. USN radar site (ACTOVRAD #8). N of Vung Tau. Surrounds were a notorious VC redoubt.,299,
38,Fire (Support)(Support Patrol) Base,Nui Dinh(s),10.53,107.09,YS2964,6430-3,RNZA ’66-67.,,
39,,Nui Do Mountains,15.7911,108.1644,AT967475,6640-4,3/3rd Marines 27-30Apr66. Between Crocodile and Scorpion Lakes. Peak is Hill 177 (grid).,2/12 Marines CC May66,
40,Landing Zone,Nui Don Da,15.4738,108.4616,BT282120,6639-1,Hill 130. 23rd ID ’71.,AD519973,
41,Fire (Support)(Support Patrol) Base,Nui Dong Lam,16.5579,107.3556,YD518318,6442-2,"High ground on the western extent of Camp Evans. 1/1st ACD base, B-/29th Arty (SLT) 28Apr68.",1/1 ACD DSJ,
42,,Nui Duong Kieu,15.7492,108.2709,BT081427,6640-2,Hill 166. Namesake of the Nui Duong Kieu Highlands. SW of Hoi An.,,
43,Fire (Support)(Support Patrol) Base,Nui Flat,11.1,107.22,YT4328,6431-3,4/12th Inf 199th LIB.,,
44,,Nui Giai,10.4732,104.9247,VS922574,5929-1,Hill 549. One of the Seven Sisters. See Little Nui Giai.,,
45,,Nui Go Dam,15.3096,108.8346,BS680934,6739-1,Hillock on Batangan Peninsula. Hot throughout.,,A
46,,Nui Hang Ba Plateau,15.37,108.65,BT4800,6739-4,Namesake is Hill 410. SW of Chu Lai.,,
47,,Nui Ho Da,14.40674,108.95157,BR79649336,6737-1,Hill 214. High point on a steep north-south ridge dominating the lowlands west of Bong Son. Fight 26Mar70.,594,
48,,Nui Hoac Ridge,15.57,108.27,BT0623,6640-2,Axis Hill 356 to Hill 352. 1/6th Inf 14May68.,,A
49,Fire (Support)(Support Patrol) Base,Nui Hon Cao,15.5265,108.1904,AT991182,6640-3,Hill 380 (contour). Brigade (1/101st ABD) firebase. C/3/16th Arty (155mm)(T) radar 26Sep67. Op Wheeler.,"652, AD389939",
50,Fire (Support)(Support Patrol) Base,Nui Hon Cao,15.5265,108.1914,AT992182,6640-3,Hill 380 (contour). Radar/2/320th (Abn) Arty (105mm)(T) 3Oct67. Op Wheeler. Northwest of Tien Phuoc.,AD389939,
51,Fire (Support)(Support Patrol) Base,Nui Hon Cao,15.5274,108.1914,AT992183,6640-3,Hill 380 (contour). A/2/320th (Abn) Arty (105mm)(T) 26Sep67. Op Wheeler. Radar at 991184. Sappered 15Oct67.,"652, AD389939",
52,,Nui Hon Doat,15.2335,108.6046,BS431852,6739-3,About 260m. ESE of Tra Bong.,,
53,,Nui Hon Soc,10.1547,104.9022,VS898222,5929-2,About 120m. NW of Rach Gia.,,
54,Observation Post,Nui Ke,16.3177,107.58,YD761055,6541-4,"aka Satan II, Green, Frendling-Hill Hill, Greek (USMC). 101st ABD Oct71. Believed to be Thua Thien Province political Hq.","AD392520, 101 ORLL 31Oct71",
55,,Nui Khet,10.6091,105.0007,WS006724,6030-3,Hill 266. Seven Sisters.,,
56,Position,Nui Kho,10.5082,107.4183,YS651623,6430-2,"Hill 96, one of the Three Sisters. 2 RAR CP/FOPB 30Sep-3Oct67. Op Kenmore.",10,
57,,Nui Kho Ridge,14.4829,109.0628,BS917017,6837-4,Namesake highpoint is Hill 216 (grid). High ground east of LZ English.,594,
58,Fire (Support)(Support Patrol) Base,Nui Lac Son,15.6228,108.21727,BT02122883,6640-3,"Hill 185. Key high ground at the entrance to Hiep Duc Valley. USMC '67, FSB Motor Pool (Americal), ARVN Jan73.",AD525180,
0,Position,Nui Lac Son,15.6217,108.2199,BT024287,6640-3,"B/1/5th Marines 5-17May67. Op Union. At the base of Hill 185. Also Charlie Co 17-31May67, 023288, 024288.",1/5 Marines AAR,
1,,Nui Lac Son Basin,"Also Que Son Basin. At the funnel between Que Son and Hiep Duc valleys. Namesake is Hill 185, a “rugged, narrow hill that protrudes from the center of the valley floor.”",718.0,,,,,
2,Position,Nui Le,10.9157,107.4288,YT659074,6430-1,Hill 268. 103rd ECo Oct71.,AD907855,
3,,Nui Le Quarry,10.9103,107.4269,YT657068,6630-4,vic Blackhorse. 46th EBn (Cnst).,AD882838,
4,,Nui Liet Kiem Ridge,15.59,108.18,AT9825,6640-3,aka Leech Ridge. Axis LZ Karen to FSB West. Nui Liet Kiem is “Mountain of Leeches.”,,
5,Landing Zone,Nui Lon,15.5590,108.2304,BT035218,6640-3,"Hill 180. B,D/3/21st Inf 22Sep69. AK Valley. Very hot.","233, 3/21 Inf DSJ",
6,,Nui Lon Mountains,14.88,108.83,BS6746,6738-1,BA 123. NW of LZ Bronco. Another Nui Lon in AK Valley.,AD390090,
7,Position,Nui Lop,10.9933,107.6636,YT915162,6530-4,Hill 731. C-/2/5th Cav 6Jun71.,394,
8,Artillery Position,Nui Mat Ma,15.7542,108.1342,AT934435,6640-4,About 370m. MS/2/11th Marines 20-23Dec70. Southeast of An Hoa.,2/11 Marines CC,
9,Observation Post,Nui May Nha,16.3599,107.4335,YD603100,6441-1,Hill 316. ARVN. vic Bastogne. Listing is Nui Mu Tha.,AD525180,
10,Fire (Support)(Support Patrol) Base,Nui May Tao,10.7696,107.5099,YS749913,6530-4,"aka FSB May Tao, Castle, Hill 2310’. 173rd Abn, RNZA Arty. Just SE of Nui May Tao, Hill 704. Also 741920.",,
11,,Nui Mieu Cave Complex,14.26,109.16,CR0277,6837-4,A/2/5th Cav 22Aug-3Sep67.,AD387543,
12,,Nui Mieu Mountains,14.21,109.11,BR/CR,6837-3,East of LZ Uplift.,,
13,Observation Post,Nui My,15.5191,108.4001,BT216171,6640-2,Hill 78.,,
14,Observation Post,Nui My,15.5191,108.402,BT218171,6640-2,"Overrun 3-4Oct70. US 3 KIA, 4 WIA, 30 PF WIA.",AD514461,
15,Landing Zone,Nui Nghe,10.6007,107.1852,YS395724,6430-3,"aka Hill 203, LZ Otago. 1 ATF.",,
16,Fire (Support)(Support Patrol) Base,Nui Nghe,10.6003,107.186,YS396723,6430-3,Hill 203. 104 FB RAA 15-20Jun68. Op Koscuisko.,10,
17,Position,Nui Nghe,10.6003,107.187,YS397723,6430-3,Hill 203. 7 RAR CP 4-16Aug67. Op Ballarat.,10,
18,Observation Post,Nui Ong,15.1283,108.7732,BS612734,6739-2,Hill 39. Attacked 1Feb71.,AD519973,
19,Observation Post,Nui Ong,15.1293,108.7742,BS613735,6739-2,Hill 39. aka OP Sugar Mill. Quang Ngai.,AD519973,
20,Observation Post,Nui Ong Do,14.9472,108.9201,BS768532,6738-1,"OP Nui Ong Do, Hill 43.",217,A
21,Observation Post,Nui Ong Do,14.9463,108.921,BS769531,6738-1,Hill 43. C/2/35th Inf CP/NDP 25-30May67. Op Baker. Hot area. Also PF OP 1971.,223,A
22,Fire (Support)(Support Patrol) Base,Nui Pho Tinh,15.3112,108.8048,BS648936,6739-1,D-/1/14th Arty (105mm)(T) 20Oct70.,"AD515335, 198 LIB DSJ 9Feb71",
23,Fire (Support)(Support Patrol) Base,Nui Pho Tinh,15.3112,108.8053,BS649936,6739-1,"Hill 106, Batangan Peninsula. Americal.",,A
24,,Nui Rang Cua,15.3577,108.6293,BS460989,6739-4,"Hill 700 (contour). Eastern Rocket Ridge, west of Chu Lai.",,
25,Observation Post,Nui Sam,10.6767,105.0769,WS089799,6030-3,aka Hill 230.,,A
26,Position,Nui Song Su,15.7579,108.0716,AT867440,6640-4,About 220m. A “recently constructed [May66] military defense position” south of An Hoa CB.,2/12 Marines CC May66,
27,,Nui Ta Kou,10.8146,107.9003,ZS176967,6530-1,"Hill 694, aka Buddha Mountain. SW of Phan Thiet.",,
28,Observation Post,Nui Ta Kou Site,10.8035,107.896,ZS171954,6530-1,"USN radar facility (ACTOVRAD site #9). Listing is 1795, refinement from chart.",,
29,,Nui Thi Vai,10.5904,107.0926,YS294712,6430-3,Hill 467. Radio relay site. 1 ATF.,,
30,Artillery Position,Nui Tho,14.8911,108.9132,BS760470,6738-1,"Hill 74 (USMC, 60m contour). D-/2/11th Marines (6X 105mm)/(2X 155mm)(T) 26Feb67. Op De Soto/Deckhouse VI. vic Duc Pho.","544, 3/11 Marines CC",
31,Artillery Position,Nui Tho,14.8885,108.917,BS764467,6738-1,"Hill 74, aka RF Hill, FSB Max. LLDB (ARVN SF) outpost 21-22Nov65. One 105mm tube here. Not named in report, base of the hill.",524,
32,,Nui Tia Pong Ridge,16.7607,106.7729,XD894536,6342-1,"USMC. Topped by Hill 792, FSB Pluto (grid). Due west of Elliot CB.",150,
33,,Nui Trai Ridge,15.5840,108.2004,BT003246,6640-3,"Hill 360 (contour), OP Rocky (grid). Strategic NE-SW high ground overlooking Double Eagle II AO west of Tam Ky.",2/7 Marines AAR/CC,
34,Position,Nui Tram,15.2577,108.7896,BS631877,6739-1,Hill 60 (contour). 1/7th Marines 17-24Aug65. Op Starlite. Unobstructed view of the AO.,1/7 Marines CC,
35,Observation Post,Nui Tron,16.3172,108.0334,AU835060,6641-4,"Hill 282. USMC, Chon May Dong Point.",,
36,Observation Post,Nui Tron,15.1708,108.6807,BS513782,6739-3,Hill 177. 1st Recon Bn 6May66. Op Montgomery.,1 MarDiv CC,
37,Observation Post,Nui Tron,15.1690,108.6826,BS515780,6739-3,"Hill 177. aka N-24. USMC OP uuntil 20Apr67, then USA. 4-/11th Marines (155mm)(SP) Feb67.","539, 542, 544, 4/11 Marines CC",
38,Observation Post,Nui Tron,15.1672,108.6835,BS516778,6739-3,"aka OP N-24. USMC Arty Feb67, Americal GSR Jul69.","539, 544, AD506484",
39,Observation Post,Nui Tron,15.1674,108.6843,BS517778,6739-3,"aka Hill 177, OP N-24, OP Son Trung, OP 1. 11th Marines OP 65-67.",206,
40,SF,Nui Tuong,10.26549,105.16815,WS18833445,6029-4,"SF Det A-429 15Jan66-May66. vic Hue Duc. Grid is Nui Tuong, Hill 64, 37km southeast of Ba Xoai where it was moved.",404,
41,Position,Nui Vo,15.2269,108.7806,BS621843,6739-2,Hill 44. 3/11th Marines CP 29Aug66. Op Jackson. Atop Nui Vo Ridge.,3/11 Marines CC/AAR,
42,Observation Post,Nui Vo,15.2278,108.7815,BS622844,6739-2,"Hill 44 (62158452), Quarry Hill. Rifle range at base. USMC, 198th LIB. Also 621845.",,
43,Artillery Position,Nui Vo,15.2287,108.7824,BS623845,6739-1,H/3/11th Marines (105mm)(T) 26-28Jul66. Op Franklin. Not named in report. vic Dottie.,11 Marines CC,
44,Artillery Position,Nui Vo,15.22783,108.78281,BS62348440,6739-2,"CP,HB,H/3/11th Marines (105mm)(T) 26Jul66. Op Franklin I. Also 623844.",3/11 Marines CC/AAR,
45,Artillery Position,Nui Vo,15.2278,108.7834,BS624844,6739-2,"CP,G/3/11th Marines (105mm)(T), C/1/11th (105mm)(T) 12Apr66. Op Nevada. Not named in report.",11 Marines CC,
46,Artillery Position,Nui Vo,15.22847,108.78355,BS62428447,6739-2,K/4/11th Marines (155mm)(T) 26-28Jul66. Op Franklin. Also 624845.,"4/11, 11 Marines CC",
